ITEM,MATL,FINISH,QTY,TOTAL,PART #,SUPPLIER,DESCRIPTION,Ga.,REMARKS,Part-Configuration Name
1,316L,MATTE,1,,A25-10075,PRCHSE,FLANGE 7.75 ID,1/2,MACHINE PER DWG.,A25-10075
2,316L,MATTE,1,,130-029000,WHSE,"TUBE, 8.00 X 5.00 LG",12,,TUBE 8.00 D 316L 12 GA MASTER 0FT-2FT - 5.00
3,316L,MATTE,1,,151-005000,WHSE,"HALF COUPLING, 3/4 NPT",S10,,HALF COUPLING 075 316L
4,316L,MATTE,1,,152-002500,WHSE,PIPE PLUG 3/4 NPT,S10,,PIPE PLUG 075 316L
5,316L,MATTE,1,,131-088000,WHSE,"PIPE, 8.00 X 2.00 LG",S10,SW O/E TO 8D,PIPE SW 8.00 TO 8D 316L S10 0FT - 2.00
6,316L,MATTE,2,,121-033000,WHSE,ELBOW PIPE 8.00 X LR X 90 DEG,S10,,ELBOW PIPE 8.00 X LR 316L - 90 DEG
7,316L,MATTE,1,,111-004000,WHSE,"PIPE, 8.00 X 40.38 LG",12,,PIPE 8.00 316L S10 0FT - 40.38
8,316L,MATTE,1,,111-004000,WHSE,"PIPE, 8.00 X 5.00 LG",12,,PIPE 8.00 316L S10 0FT - 5.00
9,316L,MATTE,1,,130-031000,WHSE,"TUBE, 10.00 X 12.00 LG",12,"SW O/E TO 8.63"" HB O/E",TUBE SW 10.00 D TO PIPE 8.00D 316L 12 GA - 12.00
10,316L,MATTE,1,,111-004000,WHSE,"TUBE, 12.00 X 10.75 LG",12,"HB O/E, SW O/E TO 10.00""",TUBE HB SW 12.00 D TO 10.00 D 316L 12 GA 0FT - 10.75
11, 316L / AL6XN,MATTE,1,,111-003000,PCHSE,SWIRL DIFFUSER,14,R12-1020EVST.DXF,R12-1020EVST
12,316L,MATTE,2,,131-037000,WHSE,"PIPE, 1.50 X 4.25 LG",S10,,PIPE 1.50D 316L S10 0FT - 4.25
13,316L,MATTE,2,,151-008000,WHSE,"HALF COUPLING, 1-1/2 NPT",S10,,HALF COUPLING 150 316L
14,316L,MATTE,1,,151-004000,WHSE,"HALF COUPLING, 1/2 NPT",S10,,HALF COUPLING 050 316L
15,316L,MATTE,1,,152-012000,WHSE,PIPE PLUG 1/2 NPT,S10,,PIPE PLUG 050 316L
16,316L,MATTE,1,,A95-104600,WHSE,BOND TAB,12,,BOND TAB
17,316L,MATTE,1,,070-001000,WHSE,TEMP. SW PAD,1/4,,TEMP SW PAD STD - 12D
18,316L,MATTE,1,,172-001000,WHSE,NAME TAG,14,,NAME TAG - 12D
