Item Code,Description,,U/M
010-001000,TEMPMAT 0.50 THK (500 SF ROLL),,SF
010-001111,"ROPE CERAMIC FIBER 1""D",,RL
010-002000,TEMPMAT 1.00 THK (225 SF RL),,SF
010-002100,DYE  HIGH JET MASSTONE BLACK,,GA
010-003000,KAOWOOL 0.50 THK 8LB/CF,,SF
010-004000,KAOWOOL 01.00 THICK,,SF
010-005000,--OBSOLETE--STEVEN CLOTH 84215,,SF
010-006000,STEVENS CLOTH 2025 750 SF RL,,SF
010-007100,PIGMENT  LAMP BLACK COLORTREND,,QT
010-008000,SILICONE CLOTH GREY (750 SF RL),,SF
010-008100,OBSOLETE-BLACK SILICON-USE PN-010-008300,,SF
010-008300,FLAT BLACK SILICONE CLOTH,,SF
010-009000,"1"" CERAMIC FIBER DOUBLE NEEDLED",,SF
010-009100,"2"" CERAMIC FIBER DOUBLE NEEDLED",,SF
010-010000,"CRIMP WIRE MESH #11 23""W",,LB
010-010001,"CRIMP WIRE MESH 9""",,LB
010-010002,"CRIMP WIRE MESH 6.25""",,LB
010-011000,GENTEX CLOTH #1014 SILVER 900SF ROLLS (100YDS),,SF
010-012000,"TAPE FIBERGLASS 1"" X .015, C150",,EA
010-012100,"FIRE BLANKET 6"" X 8""",,EA
010-013000,"TAPE FIBERGLASS 2"" .011 THK",,RL
010-013001,"SHRK TAPE 10% 1""  REL CO",,RL
010-013003,"SHRK TAPE 10% 1/2"" 100 YDS REL",,RL
010-014000,SILICONE CLOTH WHITE (750 SF RL),,SF
010-018000,"VELCRO 2""LOOP2000 OLIVE HI-AIR",,FT
010-020000,CHEMLEASE #70 SPRAY CAN,,CA
010-021000,WIRE MESH  304 (650 SF /ROLL),,SF
010-022000,"ALUMINUM .016 (3"" WIDE)",,SF
010-023000,BTU-GUE MOLDABLE 16PCF 5GAL,,GL
010-023333,BLANKET LABEL,,EA
010-024000,"FIBERGLASS DRYWALL TAPE 1 7/8"" X 300` WHT",,RL
010-027000,KAOWOOL 0.50 THK 12LB/CF,,SF
010-028000,KAOWOOL 1.00 THK 50 SF-ROLL,,SF
010-030000,"BTU BLOCK FLEX 3X6 1/2"" THK",,SF
010-140000,ROPE FIBERGLASS 1/4 DIAMETER,,FT
010-400000,"SILCOSOFT NON WOVEN MAT 1/2""TH (225 SQFT PER ROLL)",,SF
010-500000,"SILCOSOFT NON WOVEN MAT 1"" THK ( 75sf / roll )",,SF
010-700000,"TAPE PHENOLIC PRE-PREG 2"" WIDE",,LY
010-900000,"TAPE PHENOLIC PRE-PREG 4"" WIDE",,LY
020-003000,NIL,,BO
020-100000,CLAMP WORM GR #20 2-3/4  3-3/4,,EA
020-316032,"CLAMP WORM GR #12 7/8""-1 23/64 (705-0341)",,EA
020-316044,"CLAMP WORM GR #20 1-1/4"" - 1- 7/8""( TRIDENT # 710-1141)",,EA
020-316057,CLAMP WORM GR #28 1-3/4 -2-1/4 (705-1121),,EA
020-316064,"CLAMP AWAB #32  1 1/2""-2 1/2"" (710-2001)",,EA
020-316076,"CLAMP AWAB #40  2"" - 3"" (710-2141)",,EA
020-316083,"CLAMP AWAB #44  2 1/4""-3 1/4""   (710-2121)",,EA
021-001000,"CLAMP T-BOLT NEO 03.00"" (720-3000L)",,EA
021-002000,"CLAMP T-BOLT NEO 04.00"" (720-4000L)",,EA
021-003000,"CLAMP T-BOLT NEO 05.00"" ( 720-5000L)",,EA
021-003100,"CLAMP NEOPRENE T-BOLT 5-1/2""",,EA
021-004000,"CLAMP T-BOLT NEO 6"" (720-6000L)",,EA
021-005000,OBSOLETE - USE ITEM# 022-007100,,EA
021-006000,"CLAMP T-BOLT NEO 10"" (720-10000L)",,EA
021-007000,"CLAMP T-BOLT NEO 12""  (720-12000L)",,EA
021-008000,"CLAMP T-BOLT NEO 14"" (720-14000L)",,EA
021-010000,"CLAMP NEO T-BOLT 2-1/2"" TRIDENT REF#720-2340",,EA
022-001000,"CLAMP T-BOLT SIL 2"" (720-2000)",,EA
022-001100,"CLAMP T-BOLT SIL 2-7/8""",,EA
022-001110,"CLAMP T-BOLT SIL 2-1/2""",,EA
022-002000,"CLAMP T-BOLT SIL 3"" (720-3000)",,EA
022-002100,"CLAMP T-BOLT SIL 3""/DO NOT USE. USE 022-002000",,EA
022-003000,"CLAMP T-BOLT SIL 3-1/2"" (720-3120)",,EA
022-004000,"CLAMP T-BOLT SIL 4"" (720-4000)",,EA
022-005000,"CLAMP T-BOLT SIL 5"" (720-5000)",,EA
022-006000,"CLAMP T-BOLT SIL 6""  (720-6000)",,EA
022-006100,OBSOLETE - USE ITEM# 021-004000,,EA
022-007000,"CLAMP T-BOLT SIL 8"" (720-8000)",,EA
022-007100,"CLAMP T-BOLT NEO 8"" LONG BOLT (720-8000L)",,EA
022-008000,"CLAMP T-BOLT SIL 10"" (720-10000)",,EA
022-008100,OBSOLETE - USE 021-006000,,EA
022-009000,"CLAMP T-BOLT SIL 12"" (720-12000)",,EA
022-010000,"CLAMP T-BOLT SIL 14"" ( 720-14000)",,EA
022-011000,"CLAMP T-BOLT SIL 16"" (720-16000)",,EA
022-012000,"CLAMP T-BOLT SIL 4-1/2"" (720-4120)",,EA
022-013000,"CLAMP T-BOLT 18"" SIL CONS TORQ",,EA
022-013100,CLAMP T-BOLT 18 (720-18000),,EA
022-013200,"CLAMP T-BOLT 20""",,EA
022-024000,"T-BOLT CLAMP CONT TORQUE 7""",,EA
023-001000,obsolete use part# 022-007000,,EA
023-034000,"CLAMP 11/16"" TO 1 1/4"" SIL CONS TORQ (730-0340)",,EA
023-100000,"CLAMP 1.00 "" TO 1 3/4"" SIL CONS TORQ (730-1000)",,EA
023-114000,"CLAMP 1 1/4"" TO 2 1/8"" SIL CONS TORQ (730-1140)",,EA
023-134000,"CLAMP 1 3/4"" TO 2 5/8"" SIL CONS TORQ (730-1120)",,EA
023-214000,"CLAMP 2 1/4"" TO 3 1/8"" SIL CONS TORQ (730-2001)",,EA
023-234000,"CLAMP 2 3/4"" TO 3 5/8"" SIL CONS TORQ (730-2120)",,EA
023-314000,"CLAMP 3 1/4"" TO  4 1/8"" SIL CONS TORQ (730-3000)",,EA
023-334000,"CLAMP 3 3/4"" TO 4 5/8"" SIL CONS TORQ (730-3120)",,EA
